Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,United Kingdom,Less than 150,Financial Services,Business,Did not respond,Other,Don;t know,,,,,,,,,,Prebuilt content,Integrated end-to-end platform,Ease of use for business users,,,,,,,,,,,,,,,,,,50,20,3,3,Company-wide,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,Excellent,Good,Satisfactory,Good,Satisfactory,Poor,Very poor,Poor,Satisfactory,Good,Satisfactory,Poor,Neither satisfied nor dissatisfied,Maybe,,,,,,,Business user enablement,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United Kingdom,Banking and finance,Head of business department,Other,Yes,,1,Europe,United Kingdom & Ireland,Financial Services,50 - 99,Less than 100,Less than 150,Less than 25,40,30 to less than 40%,,Business,Less than 25,Less than 25
South America,Paraguay,Less than 150,Financial Services,Business,Did not respond,Other,Zoho Creator,Scalability,,,,,,,,Good price-performance ratio,,,,,,,,,,,,,,,,,,,,,10,3,3,3,In one division,Data Warehousing/BI,,,,,Query Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Paraguay,Insurance,CEO/board member,Finance and controlling,Yes,,4,South America, ,Financial Services,Less than 50,Less than 100,Less than 150,Less than 25,30,20 to less than 30%,,Business,Less than 25,Less than 25
Europe,Germany,501 - 1500,Services,Business,Did not respond,Other,WIF 3,,,,,Fast reaction time on support tickets,,,,,Prebuilt content,Integrated end-to-end platform,Ease of use for business users,,,Integration into existing IT operations,,,,,,,,,Connectivity to source and target systems,,,,,,1400,40,2,4,In one division,Data Warehousing/BI,,,,,,,Data Integration,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,Lack of resources/budget,,,,Customization of tool is limited,Lack of maturity/culture in the enterprise,,,,,,Inflexible licensing model,,Lack of internal know-how,,,,,,,Lacks of key features,,,,,,,The product lacks key features,,,,,Satisfactory,Good,Good,Poor,Good,Satisfactory,Poor,Satisfactory,Good,Poor,Satisfactory,Poor,Neither satisfied nor dissatisfied,Maybe,Predominantly based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Stayed the same,Slightly increased,Strongly decreased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly decreased,Slightly decreased,,Germany,Healthcare,CIO/IT management,IT,Yes,,1,Europe,DACH,Services,1001 – 2500,100 - 2500,501 - 1500,25 - 75,2.857142857,1 to less than 5%,,Business,Less than 25,Less than 25
North America,United States of America,Less than 150,Transport,Business,Did not respond,Other,6.3.1.CU4,,Extensibility of the solution,,,,,,,,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,,,,,,,,65,8,2,4,For the implementation of a specific use case,,,,,,,,Data Integration,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,Tool does not scale,,Customization of tool is limited,,,,,,,Inflexible licensing model,,,,,,,,,,,,,Automation does not meet expectations,,,,,,,,Satisfactory,Poor,Satisfactory,Good,Good,Satisfactory,Good,Good,Satisfactory,Good,Satisfactory,Satisfactory,Neither satisfied nor dissatisfied,Maybe,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",Security & privacy,,,Business user enablement,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Transportation and logistics,Person responsible for BI from IT department,Finance and controlling,Yes,,3,North America, ,Transport,50 - 99,Less than 100,Less than 150,Less than 25,12.30769231,10 to less than 15%,,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Manufacturing,Business,Did not respond,Other,2021.1,Scalability,Extensibility of the solution,,,,,,,,,,,,,,,Available know-how in the company,,,,,,,Connectivity to source and target systems,,,Quality of functions,,,14000,2500,5,200,Company-wide,Data Warehousing/BI,,,,,,,,Data Preparation for Business Users,,,,,,,Data Discovery,,,,,,,,,,,,Lack of maturity/culture in the enterprise,,,Insufficient support,,,,,,,,,,,Performance too slow,Lacks of key features,,Roadmap does not meet our requirements,,,,Quality of connector is not sufficient,,,,,,Satisfactory,Excellent,Poor,Good,Good,Excellent,Excellent,Satisfactory,Poor,Good,Good,Satisfactory,Rather satisfied,Probably,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,Data culture,Business user enablement,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,Process industry,Person responsible for BI from IT department,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Manufacturing,10001 -  100000,More than 2500,More than 6000,More than 300,17.85714286,15 to less than 20%,,Business,Less than 25,76 - 300
Europe,Austria,501 - 1500,Financial Services,Did not respond,Did not respond,Other,15,Scalability,Extensibility of the solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,150,16,15,In several divisions,,Advanced Analytics/Machine Learning/AI,,,Data Storage/Data Provisioning,Query Engine,,,,,,,,,,,,,,,,,,Organizational issues,Tool does not scale,,,,,,,,,,,,,,,,,,,,,Solution implementation needs workarounds,,,Quality of connector is not sufficient,,,,,,Good,Satisfactory,Satisfactory,Satisfactory,Very poor,Very poor,Poor,Very poor,Poor,Satisfactory,Very poor,Very poor,Neither satisfied nor dissatisfied,Probably,Predominantly data-based,,"Distributed data, computing & decision-making",,,,,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Austria,Insurance,Member of cross-functional BI/analytics team,Dedicated BI and analytics unit,0,0,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,501 - 1500,76 - 300,12.5,10 to less than 15%,,,Less than 25,Less than 25
Europe,France,More than 6000,Other,Did not respond,Did not respond,Other,9.02,,,Openness,,,,Local presence and quality of support,,Good price-performance ratio,,,Ease of use for business users,,,,,,,,,,,,Connectivity to source and target systems,,,Quality of functions,,,7000,150,3,3,In several divisions,,,,Data Governance,,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Good,Good,Good,Don't know / not available,Good,Good,Good,Good,Good,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,France,Media/Publishing,"Other, please specify:",Other,Yes,,1,Europe,France,Other,2501 – 10000,More than 2500,More than 6000,76 - 300,2.142857143,1 to less than 5%,,,Less than 25,Less than 25
Europe,Germany,150 - 500,Other,Business,Did not respond,Other,,Scalability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2,2,2,In one division,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Very satisfied,Definitely,Purely data-based,Digitization & data-driven enterprise,,,,,,Stayed the same,Stayed the same,Strongly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,,Germany,Other,Line of business employee,Finance and controlling,0,,1,Europe,DACH,Other,100 - 250,100 - 2500,150 - 500,Less than 25,1.333333333,1 to less than 5%,,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Financial Services,Business,SAP BW/4HANA,SAP BW/4HANA,7.4x,,Extensibility of the solution,,,Fast reaction time on support tickets,,,,,,,,,,,,,,,,,,,Connectivity to source and target systems,,,,,,40000,700,10,10,In several divisions,,,,,,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,Data Stewardship/Data Quality Management,,,,,,,,,,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,Poor,Poor,Good,Good,Satisfactory,Poor,Satisfactory,Poor,Good,Good,Satisfactory,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,Banking and finance,Person responsible for departmental BI,Human resources,Yes,,1,Europe,DACH,Financial Services,10001 -  100000,More than 2500,More than 6000,More than 300,1.75,1 to less than 5%,SAP BW/4HANA,Business,Less than 25,Less than 25
Europe,Switzerland,1501 - 6000,Public sector and Education,Business,Did not respond,Other,7.5,,,,,,,,,,Prebuilt content,,,,,,,,,,,,,,Connectivity to source and target systems,,,,,,2000,300,2,2,Company-wide,Data Warehousing/BI,,,,,,,,,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,Inflexible licensing model,,,,,,,,,,,,,,Data access is limited,,,,,,,Good,Poor,Satisfactory,Good,Very poor,Satisfactory,Satisfactory,Very poor,Poor,Very poor,Poor,Very poor,Rather dissatisfied,Probably not,Half data-based and half based on gut feeling,,,Security & privacy,,,,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,,Switzerland,Public sector,Enterprise architect,IT,No,No,1,Europe,DACH,Public sector and Education,1001 – 2500,100 - 2500,1501 - 6000,76 - 300,15,10 to less than 15%,,Business,Less than 25,Less than 25
