id,answer
237,Less than 25
237,25 - 75
237,76 - 300
237,More than 300
238,Less than 25
238,25 - 75
238,76 - 300
238,More than 300
204,Less than 25
204,25 - 75
204,76 - 300
204,More than 300
205,Less than 150
205,150 - 500
205,501 - 1500
205,1501 - 6000
205,More than 6000
206,1 to less than 5%
206,5 to less than 10%
206,10 to less than 15%
206,15 to less than 20%
206,20 to less than 30%
206,30 to less than 40%
206,40 to less than 50%
206,50 to less than 75%
206,More than 75%
236,Excellent
236,Good
236,Satisfactory
236,Poor
236,Very poor
236,Don't know / not available
216,Excellent
216,Good
216,Satisfactory
216,Poor
216,Very poor
216,Don't know / not available
217,Excellent
217,Good
217,Satisfactory
217,Poor
217,Very poor
217,Don't know / not available
218,Excellent
218,Good
218,Satisfactory
218,Poor
218,Very poor
218,Don't know / not available
219,Excellent
219,Good
219,Satisfactory
219,Poor
219,Very poor
219,Don't know / not available
220,Excellent
220,Good
220,Satisfactory
220,Poor
220,Very poor
220,Don't know / not available
221,Excellent
221,Good
221,Satisfactory
221,Poor
221,Very poor
221,Don't know / not available
222,Excellent
222,Good
222,Satisfactory
222,Poor
222,Very poor
222,Don't know / not available
223,Excellent
223,Good
223,Satisfactory
223,Poor
223,Very poor
223,Don't know / not available
224,Excellent
224,Good
224,Satisfactory
224,Poor
224,Very poor
224,Don't know / not available
225,Excellent
225,Good
225,Satisfactory
225,Poor
225,Very poor
225,Don't know / not available
226,Excellent
226,Good
226,Satisfactory
226,Poor
226,Very poor
226,Don't know / not available
212,Definitely
212,Probably
212,Maybe
212,Probably not
212,Definitely not
213,Very satisfied
213,Rather satisfied
213,Neither satisfied nor dissatisfied
213,Rather dissatisfied
213,Very dissatisfied
234,Very important
234,Important
234,Not very important
234,Not important at all
235,Very important
235,Important
235,Not very important
235,Not important at all
236,Very important
236,Important
236,Not very important
236,Not important at all
237,Very important
237,Important
237,Not very important
237,Not important at all
238,Very important
238,Important
238,Not very important
238,Not important at all
239,Very important
239,Important
239,Not very important
239,Not important at all
240,Very important
240,Important
240,Not very important
240,Not important at all
241,Very important
241,Important
241,Not very important
241,Not important at all
242,Very important
242,Important
242,Not very important
242,Not important at all
243,Very important
243,Important
243,Not very important
243,Not important at all
244,Very important
244,Important
244,Not very important
244,Not important at all
245,Very important
245,Important
245,Not very important
245,Not important at all
246,Very important
246,Important
246,Not very important
246,Not important at all
247,Very important
247,Important
247,Not very important
247,Not important at all
248,Very important
248,Important
248,Not very important
248,Not important at all
231,"Less than $100,000"
231,"$100,000 - $499,999"
231,"$500,000 - $999,999"
231,$1 million or more
232,High
232,Medium
232,Low
241,Purely data-based
241,Predominantly data-based
241,Half data-based and half based on gut feeling
241,Predominantly based on gut feeling
241,Purely based on gut feeling
242,Strongly increased
242,Slightly increased
242,Stayed the same
242,Slightly decreased
242,Strongly decreased
243,Strongly increased
243,Slightly increased
243,Stayed the same
243,Slightly decreased
243,Strongly decreased
244,Strongly increased
244,Slightly increased
244,Stayed the same
244,Slightly decreased
244,Strongly decreased
245,Strongly increased
245,Slightly increased
245,Stayed the same
245,Slightly decreased
245,Strongly decreased
246,Strongly increased
246,Slightly increased
246,Stayed the same
246,Slightly decreased
246,Strongly decreased
247,Strongly increased
247,Slightly increased
247,Stayed the same
247,Slightly decreased
247,Strongly decreased
248,Strongly increased
248,Slightly increased
248,Stayed the same
248,Slightly decreased
248,Strongly decreased
249,Strongly increased
249,Slightly increased
249,Stayed the same
249,Slightly decreased
249,Strongly decreased
250,Strongly increased
250,Slightly increased
250,Stayed the same
250,Slightly decreased
250,Strongly decreased
251,Strongly increased
251,Slightly increased
251,Stayed the same
251,Slightly decreased
251,Strongly decreased
252,Strongly increased
252,Slightly increased
252,Stayed the same
252,Slightly decreased
252,Strongly decreased
253,Strongly increased
253,Slightly increased
253,Stayed the same
253,Slightly decreased
253,Strongly decreased
254,Strongly increased
254,Slightly increased
254,Stayed the same
254,Slightly decreased
254,Strongly decreased
255,Strongly increased
255,Slightly increased
255,Stayed the same
255,Slightly decreased
255,Strongly decreased
256,Strongly increased
256,Slightly increased
256,Stayed the same
256,Slightly decreased
256,Strongly decreased
257,Strongly increased
257,Slightly increased
257,Stayed the same
257,Slightly decreased
257,Strongly decreased
258,Strongly increased
258,Slightly increased
258,Stayed the same
258,Slightly decreased
258,Strongly decreased
