peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
All products,Customer Satisfaction,1,Datavault Builder,,6.379872871,9.893240937,1,,1,
All products,Customer Satisfaction,1,Alation Data Catalog,,6.379872871,7.671198356,8,,1,
All products,Customer Satisfaction,1,Amazon RedShift,,6.379872871,7.48492929,9,,1,
All products,Customer Satisfaction,1,AnalyticsCreator,,6.379872871,9.425052576,2,,1,
All products,Customer Satisfaction,1,Collibra Data Catalog,,6.379872871,5.311013719,13,,1,
All products,Customer Satisfaction,1,dataspot.,,6.379872871,9.397900401,3,,1,
All products,Customer Satisfaction,1,Exasol Database,,6.379872871,9.30458678,4,,1,
All products,Customer Satisfaction,1,Google BigQuery,,6.379872871,5.171448692,14,,1,
All products,Customer Satisfaction,1,Informatica EDC,,6.379872871,5.881647832,10,,1,
All products,Customer Satisfaction,1,MS Azure Data Factory,,6.379872871,4.938842456,15,,1,
All products,Customer Satisfaction,1,MS SQL Server,,6.379872871,5.643524262,12,,1,
All products,Customer Satisfaction,1,MS SSIS,,6.379872871,4.700443246,16,,1,
All products,Customer Satisfaction,1,Oracle Data Integrator,,6.379872871,3.459383117,19,,1,
All products,Customer Satisfaction,1,Oracle Database,,6.379872871,2.382455008,20,,1,
All products,Customer Satisfaction,1,SAP BW on HANA,,6.379872871,3.599805811,17,,1,
All products,Customer Satisfaction,1,SAP BW/4HANA,,6.379872871,5.752299707,11,,1,
All products,Customer Satisfaction,1,SAP HANA,,6.379872871,3.515663201,18,,1,
All products,Customer Satisfaction,1,Snowflake CDP,,6.379872871,7.7054449,7,,1,
All products,Customer Satisfaction,1,Synabi D-QUANTUM,,6.379872871,7.797464736,6,,1,
All products,Customer Satisfaction,1,TimeXtender,,6.379872871,8.561112394,5,,1,
All products,Price to Value,2,Datavault Builder,,7.290967393,9.927027027,2,,2,
All products,Price to Value,2,Alation Data Catalog,,7.290967393,8.406756757,9,,2,
All products,Price to Value,2,Amazon RedShift,,7.290967393,8.406756757,8,,2,
All products,Price to Value,2,AnalyticsCreator,,7.290967393,9.627027027,3,,2,
All products,Price to Value,2,Collibra Data Catalog,,7.290967393,6.562162162,15,,2,
All products,Price to Value,2,dataspot.,,7.290967393,10,1,,2,
All products,Price to Value,2,Exasol Database,,7.290967393,9.059459459,4,,2,
All products,Price to Value,2,Google BigQuery,,7.290967393,8.102702703,10,,2,
All products,Price to Value,2,Informatica EDC,,7.290967393,7.12972973,13,,2,
All products,Price to Value,2,MS Azure Data Factory,,7.290967393,6.789189189,14,,2,
All products,Price to Value,2,MS SQL Server,,7.290967393,7.837006237,11,,2,
All products,Price to Value,2,MS SSIS,,7.290967393,7.514210985,12,,2,
All products,Price to Value,2,Oracle Data Integrator,,7.290967393,5.427027027,17,,2,
All products,Price to Value,2,Oracle Database,,7.290967393,2.553716216,19,,2,
All products,Price to Value,2,SAP BW on HANA,,7.290967393,5.2,18,,2,
All products,Price to Value,2,SAP BW/4HANA,,7.290967393,5.791891892,16,,2,
All products,Price to Value,2,SAP HANA,,7.290967393,1,20,,2,
All products,Price to Value,2,Snowflake CDP,,7.290967393,8.832432432,6,,2,
All products,Price to Value,2,Synabi D-QUANTUM,,7.290967393,8.945945946,5,,2,
All products,Price to Value,2,TimeXtender,,7.290967393,8.706306306,7,,2,
