Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_27211,Q_28211,Q_29211,Q_30211,Q_31211,Q_12211,Q_13211,Q_15211,Q_18211,Q_19211,Q_23211,Q_32_1211,Q_33_1211,Q_24211,Q_34211,Q_35211,Q_26211,Q_36211,Q_28_999211,Q_58214,Q_51214,Q_59214,Q_46214,Q_60214,Q_884214,Q_61214,Q_40214,Q_41214,Q_42214,Q_62214,Q_45214,Q_43214,Q_44214,Q_65214,Q_66214,Q_54214,Q_67214,Q_56_999214,Q_101_1215,Q_84215,Q_85215,Q_86215,Q_87215,Q_102_1215,Q_88215,Q_89215,Q_90215,Q_91215,Q_93215,Q_94215,Q_95215,Q_96215,Q_103_1215,Q_104_1215,Q_105_1215,Q_97215,Q_98_999215,Q_101218,Q_112_1219,Q_104223,Q_105221,Q_103217,Q_113_1224,Q_114220,Q_115222,Q_116225,Q_886216,Q_887226,Q_111213,Q_112212,Q_906230,Q_907230,Q_908230,Q_909230,Q_910230,Q_911230,Q_912230,Q_913230,Q_904230,Q_914231,Q_920234,Q_921234,Q_922234,Q_923234,Q_924234,Q_925234,Q_926234,Q_927234,Q_928234,Q_929234,Q_932234,Q_930234,Q_937233,Q_938233,Q_939233,Q_940233,Q_941233,Q_942233,Q_943233,Q_944233,Q_945233,Q_946233,Q_947233,Q_949232,Q_950,Q_951,Q_952,Q_955,Q_956,Q_957,Q_958,Q_959,Q_960,Q_961,Q_346,Q_351,Q70_1201,Q_352,Q_354207,Q_356202,Q70_regions208,Industry_bundlednew203,Q32_GROUP205,Q33_discrete204,Q_3_bundled210,Q33Q32206
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,Use of artificial intelligence,Protection from external effects,,,Master data/Data quality management,Data-driven culture,Empowerment of business users,Data democratization,Data governance,,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,,Creating a data culture,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,,Head of business department,Sales,Europe,,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,,Business intelligence,,,,,,,Master data/Data quality management,Data-driven culture,,,,,Data warehouse modernization,,,,,,,Creating a data culture,Building competencies,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-99,-77,Germany,,Person responsible for BI from IT department,Dedicated BI and analytics unit,Europe,,,,,
Europe,Denmark,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Denmark,,CEO/board member,Management,Europe,,,,,
Europe,Italy,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business intelligence,Regulatory/compliance requirements,,,,,,,,,,,Self-service analytics/BI,Data warehouse modernization,,,,Data security/data privacy,,,,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,Low,-77,-77,-77,-77,-66,not quoted,not quoted,quoted,not quoted,-99,-99,-77,Italy,,Head of business department,Sales,Europe,,,,,
Europe,Norway,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,Business intelligence,,,,,,,,,,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,Modernizing data & analytics architectures,,,,,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Norway,,Enterprise architect,Dedicated BI and analytics unit,Europe,,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New business models,,Business intelligence,,,,,,,,,,,,Self-service analytics/BI,Data warehouse modernization,,,,Data security/data privacy,,,,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-99,-77,Germany,,Head of business department,Dedicated BI and analytics unit,Europe,,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,,Business intelligence,,,,,,"$100,000 - $499,999",,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,,,Dedicated BI and analytics unit,Europe,,,,,
North America,United States of America,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,Business intelligence,,,Use of artificial intelligence,,,"$100,000 - $499,999",,Data-driven culture,Empowerment of business users,Data democratization,,Self-service analytics/BI,,Artificial intelligence,,Data & analytics platforms,,,,Creating a data culture,,Establishing organization for data & analytics,,Acquiring new technology,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,United States of America,,,Marketing,North America,,,,,
Europe,Hungary,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,,Business intelligence,,,,,,,,,,,Data governance,,,,,,,,,Creating a data culture,,,Modernizing data & analytics architectures,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Hungary,,,Management,Europe,,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,,,Data-driven culture,,Data democratization,Data governance,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,Data security/data privacy,,,Creating a data culture,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,,,Sales,Europe,,,,,
