Peer,vendor,KPI,value,,,
All products,Alation Data Catalog,Price to Value,7.886861314,,,
All products,Amazon RedShift,Price to Value,7.700729927,,,
All products,AnalyticsCreator,Price to Value,9.473024437,,,
All products,Collibra DI Cloud,Price to Value,5.601167883,,,
All products,dataspot.,Price to Value,9.655109489,,,
All products,Exasol,Price to Value,9.141747116,,,
All products,Google BigQuery,Price to Value,10,,,
All products,Informatica EDC,Price to Value,5.467153285,,,
All products,Informatica PowerCen.,Price to Value,1,,,
All products,MS Azure Data Factory,Price to Value,6.472262774,,,
All products,MS Azure Synapse,Price to Value,8.817518248,,,
All products,MS SQL Server,Price to Value,7.732456868,,,
All products,MS SSIS,Price to Value,7.644890511,,,
All products,Oracle Data Integrator,Price to Value,3.791970803,,,
All products,Oracle Database,Price to Value,2.451824818,,,
All products,Qlik Data Integration,Price to Value,8.259124088,,,
All products,SAP BW/4HANA,Price to Value,4.270594369,,,
All products,SAP DI,Price to Value,6.304744526,,,
All products,SAP DWC,Price to Value,8.044357103,,,
All products,Snowflake CDP,Price to Value,9.131614964,,,
All products,Synabi D-QUANTUM,Price to Value,8.665228932,,,
All products,Talend DI,Price to Value,9.894421272,,,
All products,TimeXtender,Price to Value,9.018540146,,,
All products,Peer Group Average,Price to Value,7.235884473,,,
All products,Alation Data Catalog,Time to Market,6.972022956,,,
All products,Amazon RedShift,Time to Market,5.842180775,,,
All products,AnalyticsCreator,Time to Market,9.926994813,,,
All products,Collibra DI Cloud,Time to Market,1,,,
All products,dataspot.,Time to Market,10,,,
All products,Exasol,Time to Market,8.644189383,,,
All products,Google BigQuery,Time to Market,6.905561651,,,
All products,Informatica EDC,Time to Market,5.136029412,,,
All products,Informatica PowerCen.,Time to Market,3.864956958,,,
All products,MS Azure Data Factory,Time to Market,5.842180775,,,
All products,MS Azure Synapse,Time to Market,6.164992826,,,
All products,MS SQL Server,Time to Market,4.82921882,,,
All products,MS SSIS,Time to Market,4.93830703,,,
All products,Oracle Data Integrator,Time to Market,3.864956958,,,
All products,Oracle Database,Time to Market,2.136298422,,,
All products,Qlik Data Integration,Time to Market,7.348637016,,,
All products,SAP BW/4HANA,Time to Market,5.106469587,,,
All products,SAP DI,Time to Market,6.746054519,,,
All products,SAP DWC,Time to Market,9.909612626,,,
All products,Snowflake CDP,Time to Market,9.005738881,,,
All products,Synabi D-QUANTUM,Time to Market,7.599713056,,,
All products,Talend DI,Time to Market,5.842180775,,,
All products,TimeXtender,Time to Market,7.634344234,,,
All products,Peer Group Average,Time to Market,6.315680064,,,
All products,Alation Data Catalog,Recommendation,8.8,,,
All products,Amazon RedShift,Recommendation,1.4,,,
All products,AnalyticsCreator,Recommendation,7.685714286,,,
All products,Collibra DI Cloud,Recommendation,3.4,,,
All products,dataspot.,Recommendation,10,,,
All products,Exasol,Recommendation,5.581818182,,,
All products,Google BigQuery,Recommendation,4.811764706,,,
All products,Informatica EDC,Recommendation,3.025,,,
All products,Informatica PowerCen.,Recommendation,7.4,,,
All products,MS Azure Data Factory,Recommendation,1,,,
All products,MS Azure Synapse,Recommendation,2.542857143,,,
All products,MS SQL Server,Recommendation,2.039175258,,,
All products,MS SSIS,Recommendation,2.625806452,,,
All products,Oracle Data Integrator,Recommendation,1.9,,,
All products,Oracle Database,Recommendation,1.9,,,
All products,Qlik Data Integration,Recommendation,1.4,,,
