peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
All products,Product satisfaction,1,2150 Datavault Builder,,6.691050846,10,1,,2,
All products,Product satisfaction,1,AnalyticsCreator,,6.691050846,9.58266129,2,,2,
All products,Product satisfaction,1,Informatica PowerCenter,,6.691050846,7.722134217,5,,2,
All products,Product satisfaction,1,Microsoft Azure,,6.691050846,6.533266129,7,,2,
All products,Product satisfaction,1,Microsoft SQL Server,,6.691050846,7.086794355,6,,2,
All products,Product satisfaction,1,Microsoft SSIS,,6.691050846,5.611517137,8,,2,
All products,Product satisfaction,1,Oracle Database,,6.691050846,4.860950101,10,,2,
All products,Product satisfaction,1,Pentaho Data Integration,,6.691050846,7.965927419,4,,2,
All products,Product satisfaction,1,SAP BW,,6.691050846,1,11,,2,
All products,Product satisfaction,1,SAP BW on HANA,,6.691050846,5.205457614,9,,2,
All products,Product satisfaction,1,SAP BW/4HANA,,6.691050846,8.032851044,3,,2,
All products,Recommendation,2,2150 Datavault Builder,,5.438594599,10,1,,2,
All products,Recommendation,2,AnalyticsCreator,,5.438594599,9.052631579,2,,2,
All products,Recommendation,2,Informatica PowerCenter,,5.438594599,6.086956522,4,,2,
All products,Recommendation,2,Microsoft Azure,,5.438594599,2.715719064,9,,2,
All products,Recommendation,2,Microsoft SQL Server,,5.438594599,5.517786561,6,,2,
All products,Recommendation,2,Microsoft SSIS,,5.438594599,5.270321361,7,,2,
All products,Recommendation,2,Oracle Database,,5.438594599,1,11,,2,
All products,Recommendation,2,Pentaho Data Integration,,5.438594599,8.173913043,3,,2,
All products,Recommendation,2,SAP BW,,5.438594599,1.803203661,10,,2,
All products,Recommendation,2,SAP BW on HANA,,5.438594599,4.485338726,8,,2,
All products,Recommendation,2,SAP BW/4HANA,,5.438594599,5.718670077,5,,2,
All products,Developer efficiency,3,2150 Datavault Builder,,5.619906789,9.235579615,2,,2,
All products,Developer efficiency,3,AnalyticsCreator,,5.619906789,10,1,,2,
All products,Developer efficiency,3,Informatica PowerCenter,,5.619906789,5.497156847,7,,2,
All products,Developer efficiency,3,Microsoft Azure,,5.619906789,5.733493919,5,,2,
All products,Developer efficiency,3,Microsoft SQL Server,,5.619906789,6.756013494,3,,2,
All products,Developer efficiency,3,Microsoft SSIS,,5.619906789,5.373850549,8,,2,
All products,Developer efficiency,3,Oracle Database,,5.619906789,3.370123203,9,,2,
All products,Developer efficiency,3,Pentaho Data Integration,,5.619906789,5.564681725,6,,2,
All products,Developer efficiency,3,SAP BW,,5.619906789,1,11,,2,
All products,Developer efficiency,3,SAP BW on HANA,,5.619906789,2.845570191,10,,2,
All products,Developer efficiency,3,SAP BW/4HANA,,5.619906789,6.442505133,4,,2,
All products,Time to market,4,2150 Datavault Builder,,7.094986399,10,1,,2,
All products,Time to market,4,AnalyticsCreator,,7.094986399,9.721967963,2,,2,
All products,Time to market,4,Informatica PowerCenter,,7.094986399,7.564130435,6,,2,
All products,Time to market,4,Microsoft Azure,,7.094986399,7.439966555,7,,2,
All products,Time to market,4,Microsoft SQL Server,,7.094986399,7.810997442,4,,2,
All products,Time to market,4,Microsoft SSIS,,7.094986399,7.19826087,8,,2,
All products,Time to market,4,Oracle Database,,7.094986399,5.95,9,,2,
All products,Time to market,4,Pentaho Data Integration,,7.094986399,8.440372671,3,,2,
All products,Time to market,4,SAP BW,,7.094986399,1,11,,2,
All products,Time to market,4,SAP BW on HANA,,7.094986399,5.274317492,10,,2,
All products,Time to market,4,SAP BW/4HANA,,7.094986399,7.644836957,5,,2,
All products,Data access,5,2150 Datavault Builder,,7.310770262,10,1,,2,
All products,Data access,5,AnalyticsCreator,,7.310770262,9.229219144,2,,2,
All products,Data access,5,Informatica PowerCenter,,7.310770262,9.171672157,3,,2,
All products,Data access,5,Microsoft Azure,,7.310770262,7.248110831,7,,2,
All products,Data access,5,Microsoft SQL Server,,7.310770262,8.880100756,4,,2,
All products,Data access,5,Microsoft SSIS,,7.310770262,6.98488665,8,,2,
All products,Data access,5,Oracle Database,,7.310770262,4.692288941,10,,2,
All products,Data access,5,Pentaho Data Integration,,7.310770262,8.406297229,5,,2,
All products,Data access,5,SAP BW,,7.310770262,1,11,,2,
All products,Data access,5,SAP BW on HANA,,7.310770262,6.98488665,9,,2,
All products,Data access,5,SAP BW/4HANA,,7.310770262,7.82101052,6,,2,
All products,Price-to-value,6,2150 Datavault Builder,,5.530790832,10,1,,2,
All products,Price-to-value,6,AnalyticsCreator,,5.530790832,8.313069909,3,,2,
All products,Price-to-value,6,Informatica PowerCenter,,5.530790832,1.656534954,10,,2,
All products,Price-to-value,6,Microsoft Azure,,5.530790832,6.888297872,6,,2,
All products,Price-to-value,6,Microsoft SQL Server,,5.530790832,6.945288754,5,,2,
All products,Price-to-value,6,Microsoft SSIS,,5.530790832,8.164628543,4,,2,
All products,Price-to-value,6,Oracle Database,,5.530790832,1,11,,2,
All products,Price-to-value,6,Pentaho Data Integration,,5.530790832,9.452887538,2,,2,
All products,Price-to-value,6,SAP BW,,5.530790832,1.759118541,9,,2,
All products,Price-to-value,6,SAP BW on HANA,,5.530790832,3.08744447,8,,2,
All products,Price-to-value,6,SAP BW/4HANA,,5.530790832,3.571428571,7,,2,
All products,Performance,7,2150 Datavault Builder,,6.566397196,7.201987246,5,,2,
All products,Performance,7,AnalyticsCreator,,6.566397196,8.326264274,2,,2,
All products,Performance,7,Informatica PowerCenter,,6.566397196,6.395030744,7,,2,
All products,Performance,7,Microsoft Azure,,6.566397196,7.840674279,4,,2,
All products,Performance,7,Microsoft SQL Server,,6.566397196,7.176228877,6,,2,
All products,Performance,7,Microsoft SSIS,,6.566397196,6.149194978,8,,2,
All products,Performance,7,Oracle Database,,6.566397196,3.970951955,10,,2,
All products,Performance,7,Pentaho Data Integration,,6.566397196,5.908646003,9,,2,
All products,Performance,7,SAP BW,,6.566397196,1,11,,2,
All products,Performance,7,SAP BW on HANA,,6.566397196,8.261390796,3,,2,
All products,Performance,7,SAP BW/4HANA,,6.566397196,10,1,,2,
All products,Scalability,8,2150 Datavault Builder,,6.595121857,9.026014568,2,,2,
All products,Scalability,8,AnalyticsCreator,,6.595121857,10,1,,2,
All products,Scalability,8,Informatica PowerCenter,,6.595121857,8.481389578,4,,2,
All products,Scalability,8,Microsoft Azure,,6.595121857,8.064516129,5,,2,
All products,Scalability,8,Microsoft SQL Server,,6.595121857,7.779886148,6,,2,
All products,Scalability,8,Microsoft SSIS,,6.595121857,6.632258065,8,,2,
All products,Scalability,8,Oracle Database,,6.595121857,1.945889698,10,,2,
All products,Scalability,8,Pentaho Data Integration,,6.595121857,3.198156682,9,,2,
All products,Scalability,8,SAP BW,,6.595121857,1,11,,2,
All products,Scalability,8,SAP BW on HANA,,6.595121857,7.43435859,7,,2,
All products,Scalability,8,SAP BW/4HANA,,6.595121857,8.983870968,3,,2,
All products,Maintenance efficiency,9,2150 Datavault Builder,,6.10599942,8.885941645,2,,2,
All products,Maintenance efficiency,9,AnalyticsCreator,,6.10599942,10,1,,2,
All products,Maintenance efficiency,9,Informatica PowerCenter,,6.10599942,8.01183432,3,,2,
All products,Maintenance efficiency,9,Microsoft Azure,,6.10599942,7.162393162,5,,2,
All products,Maintenance efficiency,9,Microsoft SQL Server,,6.10599942,6.939507095,6,,2,
All products,Maintenance efficiency,9,Microsoft SSIS,,6.10599942,3.945054945,9,,2,
All products,Maintenance efficiency,9,Oracle Database,,6.10599942,2.338461538,10,,2,
All products,Maintenance efficiency,9,Pentaho Data Integration,,6.10599942,5.252747253,8,,2,
All products,Maintenance efficiency,9,SAP BW,,6.10599942,1,11,,2,
All products,Maintenance efficiency,9,SAP BW on HANA,,6.10599942,6.060822898,7,,2,
All products,Maintenance efficiency,9,SAP BW/4HANA,,6.10599942,7.569230769,4,,2,
All products,Compliance,10,2150 Datavault Builder,,7.186100695,8.680496533,4,,2,
All products,Compliance,10,AnalyticsCreator,,7.186100695,9.282375308,2,,2,
All products,Compliance,10,Informatica PowerCenter,,7.186100695,8.740684411,3,,2,
All products,Compliance,10,Microsoft Azure,,7.186100695,10,1,,2,
All products,Compliance,10,Microsoft SQL Server,,7.186100695,8.229087452,5,,2,
All products,Compliance,10,Microsoft SSIS,,7.186100695,1,11,,2,
All products,Compliance,10,Oracle Database,,7.186100695,7.005703422,7,,2,
All products,Compliance,10,Pentaho Data Integration,,7.186100695,5.671102662,10,,2,
All products,Compliance,10,SAP BW,,7.186100695,6.889190657,8,,2,
All products,Compliance,10,SAP BW on HANA,,7.186100695,5.830976711,9,,2,
All products,Compliance,10,SAP BW/4HANA,,7.186100695,7.717490494,6,,2,
All products,Data governance,11,2150 Datavault Builder,,7.050534908,8.911983033,4,,2,
All products,Data governance,11,AnalyticsCreator,,7.050534908,10,1,,2,
All products,Data governance,11,Informatica PowerCenter,,7.050534908,9.880266075,2,,2,
All products,Data governance,11,Microsoft Azure,,7.050534908,9.493433396,3,,2,
All products,Data governance,11,Microsoft SQL Server,,7.050534908,6.249204666,8,,2,
All products,Data governance,11,Microsoft SSIS,,7.050534908,1,11,,2,
All products,Data governance,11,Oracle Database,,7.050534908,4.445387063,10,,2,
All products,Data governance,11,Pentaho Data Integration,,7.050534908,6.575609756,7,,2,
All products,Data governance,11,SAP BW,,7.050534908,6.926829268,6,,2,
All products,Data governance,11,SAP BW on HANA,,7.050534908,6.048780488,9,,2,
All products,Data governance,11,SAP BW/4HANA,,7.050534908,8.024390244,5,,2,
All products,Skills availability,12,2150 Datavault Builder,,7.129110854,7.734693878,5,,2,
All products,Skills availability,12,AnalyticsCreator,,7.129110854,10,1,,2,
All products,Skills availability,12,Informatica PowerCenter,,7.129110854,7.824175824,4,,2,
All products,Skills availability,12,Microsoft Azure,,7.129110854,7.018838305,8,,2,
All products,Skills availability,12,Microsoft SQL Server,,7.129110854,9.629154519,2,,2,
All products,Skills availability,12,Microsoft SSIS,,7.129110854,7.346938776,7,,2,
All products,Skills availability,12,Oracle Database,,7.129110854,8.222514812,3,,2,
All products,Skills availability,12,Pentaho Data Integration,,7.129110854,5.640816327,10,,2,
All products,Skills availability,12,SAP BW,,7.129110854,1,11,,2,
All products,Skills availability,12,SAP BW on HANA,,7.129110854,7.56851312,6,,2,
All products,Skills availability,12,SAP BW/4HANA,,7.129110854,6.43457383,9,,2,
Analytical database products,Product satisfaction,1,Microsoft Azure,,5.453219874,6.533266129,3,,2,
Analytical database products,Product satisfaction,1,Microsoft SQL Server,,5.453219874,7.086794355,2,,2,
Analytical database products,Product satisfaction,1,Oracle Database,,5.453219874,4.860950101,5,,2,
Analytical database products,Product satisfaction,1,SAP BW,,5.453219874,1,6,,2,
Analytical database products,Product satisfaction,1,SAP BW on HANA,,5.453219874,5.205457614,4,,2,
Analytical database products,Product satisfaction,1,SAP BW/4HANA,,5.453219874,8.032851044,1,,2,
Analytical database products,Recommendation,2,Microsoft Azure,,3.540119681,2.715719064,4,,2,
Analytical database products,Recommendation,2,Microsoft SQL Server,,3.540119681,5.517786561,2,,2,
Analytical database products,Recommendation,2,Oracle Database,,3.540119681,1,6,,2,
Analytical database products,Recommendation,2,SAP BW,,3.540119681,1.803203661,5,,2,
Analytical database products,Recommendation,2,SAP BW on HANA,,3.540119681,4.485338726,3,,2,
Analytical database products,Recommendation,2,SAP BW/4HANA,,3.540119681,5.718670077,1,,2,
Analytical database products,Developer efficiency,3,Microsoft Azure,,4.35795099,5.733493919,3,,2,
Analytical database products,Developer efficiency,3,Microsoft SQL Server,,4.35795099,6.756013494,1,,2,
Analytical database products,Developer efficiency,3,Oracle Database,,4.35795099,3.370123203,4,,2,
Analytical database products,Developer efficiency,3,SAP BW,,4.35795099,1,6,,2,
Analytical database products,Developer efficiency,3,SAP BW on HANA,,4.35795099,2.845570191,5,,2,
Analytical database products,Developer efficiency,3,SAP BW/4HANA,,4.35795099,6.442505133,2,,2,
Analytical database products,Time to market,4,Microsoft Azure,,5.853353074,7.439966555,3,,2,
Analytical database products,Time to market,4,Microsoft SQL Server,,5.853353074,7.810997442,1,,2,
Analytical database products,Time to market,4,Oracle Database,,5.853353074,5.95,4,,2,
Analytical database products,Time to market,4,SAP BW,,5.853353074,1,6,,2,
Analytical database products,Time to market,4,SAP BW on HANA,,5.853353074,5.274317492,5,,2,
Analytical database products,Time to market,4,SAP BW/4HANA,,5.853353074,7.644836957,2,,2,
Analytical database products,Data access,5,Microsoft Azure,,6.104399616,7.248110831,3,,2,
Analytical database products,Data access,5,Microsoft SQL Server,,6.104399616,8.880100756,1,,2,
Analytical database products,Data access,5,Oracle Database,,6.104399616,4.692288941,5,,2,
Analytical database products,Data access,5,SAP BW,,6.104399616,1,6,,2,
Analytical database products,Data access,5,SAP BW on HANA,,6.104399616,6.98488665,4,,2,
Analytical database products,Data access,5,SAP BW/4HANA,,6.104399616,7.82101052,2,,2,
Analytical database products,Price-to-value,6,Microsoft Azure,,3.875263035,6.888297872,2,,2,
Analytical database products,Price-to-value,6,Microsoft SQL Server,,3.875263035,6.945288754,1,,2,
Analytical database products,Price-to-value,6,Oracle Database,,3.875263035,1,6,,2,
Analytical database products,Price-to-value,6,SAP BW,,3.875263035,1.759118541,5,,2,
Analytical database products,Price-to-value,6,SAP BW on HANA,,3.875263035,3.08744447,4,,2,
Analytical database products,Price-to-value,6,SAP BW/4HANA,,3.875263035,3.571428571,3,,2,
Analytical database products,Performance,7,Microsoft Azure,,6.374874318,7.840674279,3,,2,
Analytical database products,Performance,7,Microsoft SQL Server,,6.374874318,7.176228877,4,,2,
Analytical database products,Performance,7,Oracle Database,,6.374874318,3.970951955,5,,2,
Analytical database products,Performance,7,SAP BW,,6.374874318,1,6,,2,
Analytical database products,Performance,7,SAP BW on HANA,,6.374874318,8.261390796,2,,2,
Analytical database products,Performance,7,SAP BW/4HANA,,6.374874318,10,1,,2,
Analytical database products,Scalability,8,Microsoft Azure,,5.868086922,8.064516129,2,,2,
Analytical database products,Scalability,8,Microsoft SQL Server,,5.868086922,7.779886148,3,,2,
Analytical database products,Scalability,8,Oracle Database,,5.868086922,1.945889698,5,,2,
Analytical database products,Scalability,8,SAP BW,,5.868086922,1,6,,2,
Analytical database products,Scalability,8,SAP BW on HANA,,5.868086922,7.43435859,4,,2,
Analytical database products,Scalability,8,SAP BW/4HANA,,5.868086922,8.983870968,1,,2,
Analytical database products,Maintenance efficiency,9,Microsoft Azure,,5.178402577,7.162393162,2,,2,
Analytical database products,Maintenance efficiency,9,Microsoft SQL Server,,5.178402577,6.939507095,3,,2,
Analytical database products,Maintenance efficiency,9,Oracle Database,,5.178402577,2.338461538,5,,2,
Analytical database products,Maintenance efficiency,9,SAP BW,,5.178402577,1,6,,2,
Analytical database products,Maintenance efficiency,9,SAP BW on HANA,,5.178402577,6.060822898,4,,2,
Analytical database products,Maintenance efficiency,9,SAP BW/4HANA,,5.178402577,7.569230769,1,,2,
Analytical database products,Compliance,10,Microsoft Azure,,7.61207479,10,1,,2,
Analytical database products,Compliance,10,Microsoft SQL Server,,7.61207479,8.229087452,2,,2,
Analytical database products,Compliance,10,Oracle Database,,7.61207479,7.005703422,4,,2,
Analytical database products,Compliance,10,SAP BW,,7.61207479,6.889190657,5,,2,
Analytical database products,Compliance,10,SAP BW on HANA,,7.61207479,5.830976711,6,,2,
Analytical database products,Compliance,10,SAP BW/4HANA,,7.61207479,7.717490494,3,,2,
Analytical database products,Data governance,11,Microsoft Azure,,6.864670854,9.493433396,1,,2,
Analytical database products,Data governance,11,Microsoft SQL Server,,6.864670854,6.249204666,4,,2,
Analytical database products,Data governance,11,Oracle Database,,6.864670854,4.445387063,6,,2,
Analytical database products,Data governance,11,SAP BW,,6.864670854,6.926829268,3,,2,
Analytical database products,Data governance,11,SAP BW on HANA,,6.864670854,6.048780488,5,,2,
